NOM_SCIENTIFIQUE;Humidité_atmosphérique;Humidité_édaphique;Réaction_du_sol_(pH);Lumière;Texture;Matière_organique;Température;Continentalité;Niveau_trophique;Salinité
Hedysarum hedysaroides (L.) Schinz & Thell.;6;5;8;8;3;2;2;7;2;0
Hedysarum hedysaroides (L.) Schinz & Thell. subsp. hedysaroides;6;5;8;8;3;2;2;7;2;0
Helianthemum aegyptiacum (L.) Mill.;4;3;8;8;3;2;8;4;3;0
Helianthemum apenninum (L.) Mill.;3;3;8;8;3;2;6;4;1;0
Helianthemum canum (L.) Baumg.;3;3;8;8;3;2;7;4;3;0
Helianthemum fugacium Mill.;3;4;8;8;3;2;8;4;2;0
Helianthemum hirtum (L.) Mill.;3;2;8;8;3;2;6;4;3;0
Helianthemum italicum (L.) Pers.;3;3;8;8;3;2;6;4;1;0
Helianthemum italicum var. alpestre (Jacq.) Gren.;4;4;9;9;3;2;2;5;2;0
Helianthemum ledifolium (L.) Mill.;4;3;8;8;1;2;8;4;3;0
Helianthemum lunulatum (All.) DC.;3;3;8;7;7;1;2;6;3;0
Helianthemum marifolium (L.) Mill.;3;3;8;8;3;2;8;3;4;0
Helianthemum marifolium (L.) Mill. subsp. marifolium;3;3;8;8;3;2;8;3;4;0
Helianthemum nummularium (L.) Mill.;3;3;7;7;3;2;6;4;3;0
Helianthemum nummularium (L.) Mill. var. nummularium;3;3;7;7;3;2;6;4;3;0
Helianthemum nummularium var. obscurum (Celak.) B.Bock;3;3;7;7;3;2;6;7;3;0
Helianthemum salicifolium (L.) Mill.;4;3;5;8;3;2;8;4;3;0
Helianthemum syriacum (Jacq.) Dum.Cours.;3;2;8;8;3;2;8;3;3;0
Helianthemum violaceum (Cav.) Pers.;3;3;8;8;3;2;8;3;3;0
Helianthus annuus L.;4;5;6;8;3;3;6;4;8;0
Helianthus annuus L. var. annuus;4;5;6;8;3;3;6;4;8;0
Helianthus annuus var. macrocarpus (DC.) Cockerell;4;5;6;8;3;3;6;4;8;0
Helianthus tuberosus L.;8;6;7;8;2;8;7;4;8;0
Helichrysum arenarium (L.) Moench ;3;3;5;8;4;1;5;8;1;0
Helichrysum foetidum (L.) Moench;8;7;7;8;8;3;6;1;5;7
Helichrysum italicum (Roth) G.Don ;3;4;7;9;5;1;9;1;4;4
Helichrysum italicum (Roth) G.Don subsp. italicum;3;4;7;9;5;1;9;1;4;4
Helichrysum italicum subsp. microphyllum (Willd.) Nyman;3;4;7;9;5;1;9;1;4;4
Helichrysum serotinum (DC.) Boiss.;4;4;7;9;5;1;9;1;4;4
Helichrysum stoechas (L.) Moench ;3;3;8;8;4;1;7;3;2;0
Helichrysum stoechas (L.) Moench subsp. stoechas;3;3;8;8;4;1;7;3;2;0
Helicodiceros muscivorus (L.f.) Engl.;4;4;8;8;3;2;8;3;7;0
Helictochloa bromoides (Gouan) Romero Zarco;3;4;8;8;3;2;8;4;3;0
Helictochloa bromoides (Gouan) Romero Zarco subsp. bromoides;3;4;8;8;3;2;8;4;3;0
Helictochloa bromoides subsp. pauneroae (Romero Zarco) Romero Zarco;3;4;8;8;3;2;8;3;3;0
Helictochloa marginata (Lowe) Romero Zarco;5;4;3;8;4;4;6;3;2;0
Helictochloa pratensis (L.) Romero Zarco;4;3;7;7;3;2;5;5;2;0
Helictochloa pratensis (L.) Romero Zarco subsp. pratensis;4;3;7;7;3;2;5;5;2;0
Helictochloa pratensis subsp. amethystea (Braun-Blanq.) Romero Zarco;3;4;8;8;3;2;7;3;3;0
Helictochloa pratensis subsp. gonzaloi (Sennen) Romero Zarco;3;4;8;7;3;2;6;3;3;0
Helictochloa pratensis subsp. iberica (St.-Yves) Romero Zarco;3;4;8;7;3;2;8;2;3;0
Helictochloa versicolor (Vill.) Romero Zarco;5;5;3;9;3;7;2;4;2;0
Helictochloa versicolor (Vill.) Romero Zarco subsp. versicolor;5;5;3;9;3;7;2;4;2;0
Helictochloa versicolor subsp. praetutiana (Arcang.) Romero Zarco;5;5;3;9;3;7;2;4;2;0
Helictotrichon cantabricum (Lag.) Gervais;3;3;8;7;3;2;3;3;3;0
Helictotrichon parlatorei (J.Woods) Pilg.;6;5;9;9;5;2;2;6;3;0
Helictotrichon sedenense (Clarion ex DC.) Holub;4;4;9;9;3;2;2;5;2;0
Helictotrichon sedenense (Clarion ex DC.) Holub subsp. sedenense;4;4;9;9;3;2;2;5;2;0
Helictotrichon sedenense subsp. gervaisii Romero Zarco;4;5;8;9;4;2;2;4;2;0
Helictotrichon sempervirens (Vill.) Pilg. ;6;5;9;9;5;2;2;6;3;0
Helictotrichon setaceum (Vill.) Henrard ;6;5;9;9;5;2;2;6;3;0
Heliosperma pusillum (Waldst. & Kit.) Rchb.;8;8;8;8;8;1;2;3;4;0
Heliosperma pusillum (Waldst. & Kit.) Rchb. subsp. pusillum;8;8;8;8;8;1;2;3;4;0
Heliotropium amplexicaule Vahl;6;5;5;7;4;1;6;1;7;0
Heliotropium arborescens L.;5;5;5;9;7;1;9;1;6;0
Heliotropium curassavicum L.;8;8;8;8;2;3;9;1;7;8
Heliotropium europaeum L.;4;4;8;7;3;3;7;4;6;0
Heliotropium suaveolens M.Bieb.;4;4;8;7;3;3;8;3;6;0
Heliotropium suaveolens subsp. bocconei (Guss.) Brummitt;4;4;8;7;3;3;8;3;6;0
Heliotropium supinum L.;7;8;6;9;4;3;7;4;4;0
Helleborus foetidus L.;4;4;8;5;3;2;6;4;3;0
Helleborus lividus Aiton;5;4;4;5;3;4;2;3;4;0
Helleborus niger L.;5;5;8;5;3;2;5;6;4;0
Helleborus niger L. subsp. niger;5;5;8;5;3;2;5;6;4;0
Helleborus viridis L.;4;5;8;4;4;2;6;3;6;0
Helminthotheca echioides (L.) Holub;3;3;8;8;3;1;7;4;6;0
Helosciadium crassipes W.D.J.Koch;6;8;6;9;2;8;8;3;2;0
Helosciadium inundatum (L.) W.D.J.Koch;8;9;5;7;4;9;6;3;3;0
Helosciadium nodiflorum (L.) W.D.J.Koch;9;9;7;8;1;8;6;5;7;0
Helosciadium nodiflorum (L.) W.D.J.Koch var. nodiflorum écoph. rhéophile;9;12;7;7;1;8;5;5;7;0
Helosciadium repens (Jacq.) W.D.J.Koch;8;9;5;8;4;9;6;3;3;1
Hemerocallis fulva (L.) L.;7;6;7;8;2;8;7;4;7;0
Hemerocallis lilioasphodelus L.;7;6;6;7;1;8;6;4;6;0
Hepatica triloba Chaix;5;5;7;4;3;2;5;5;5;0
Heracleum alpinum L.;7;6;8;7;1;8;2;5;8;0
Heracleum mantegazzianum Sommier & Levier;6;5;6;8;3;3;6;5;8;0
Heracleum pumilum Vill.;5;5;8;7;6;1;2;7;4;0
Heracleum pyrenaicum Lam.;7;6;8;7;1;8;2;4;8;0
Heracleum sibiricum L.;6;5;5;8;2;3;3;4;8;0
Heracleum sibiricum L. subsp. sibiricum;6;5;5;8;2;3;3;4;8;0
Heracleum sphondylium L.;5;5;5;7;2;3;5;5;8;0
Heracleum sphondylium L. subsp. sphondylium;5;5;5;7;2;3;5;5;8;0
Heracleum sphondylium subsp. elegans (Crantz) Schübler & G.Martens;7;6;8;7;1;8;2;5;8;0
Herminium monorchis (L.) R.Br.;6;5;8;7;2;2;5;5;2;0
Herniaria alpina Chaix;5;5;2;8;3;1;1;4;2;0
Herniaria ciliolata Melderis ;3;3;5;8;4;1;6;1;3;1
Herniaria ciliolata subsp. robusta Chaudhri;3;3;5;8;4;1;6;1;3;1
Herniaria cinerea DC. ;3;3;3;9;5;1;6;4;3;0
Herniaria glabra L. ;3;3;4;8;4;1;5;5;2;0
Herniaria hirsuta L.;4;4;4;9;4;1;5;6;2;0
Herniaria incana Lam. ;3;3;8;8;3;2;7;4;2;0
Herniaria latifolia Lapeyr.;4;3;3;7;7;1;2;3;2;0
Herniaria litardierei (Gamisans) Greuter & Burdet;4;5;2;8;4;4;2;3;3;0
Hesperis laciniata All. ;4;4;8;7;8;1;5;3;4;0
Hesperis matronalis L.;7;6;6;7;1;8;5;6;6;0
Hesperis matronalis L. subsp. matronalis;7;6;6;7;1;8;5;6;6;0
Hesperis matronalis subsp. inodora (L.) P.Fourn.;6;5;7;5;3;2;5;4;6;0
Hesperis matronalis subsp. nivea (Baumg.) E.P.Perrier;7;6;6;7;1;8;5;6;6;0
Heteranthera limosa (Sw.) Willd.;9;10;7;9;1;8;9;2;8;0
Heteropogon contortus (L.) P.Beauv. ex Roem. & Schult.;2;2;8;9;2;1;9;3;3;0
Hibiscus palustris L.;7;9;5;8;2;8;9;3;5;1
Hibiscus trionum L.;5;5;6;6;4;3;8;3;7;0
Hieracium acuminatum Jord. ;5;5;5;7;4;4;5;5;6;0
Hieracium aemulum Arv.-Touv. & Gaut.;5;4;8;6;8;1;2;4;4;0
Hieracium alpinum L.;5;5;1;8;3;4;2;3;1;0
Hieracium amphiglaucum (Zahn) Prain;5;4;3;5;4;5;2;8;3;0
Hieracium amplexicaule L.;5;3;5;8;5;3;4;4;2;0
Hieracium andryaloides Vill.;;;;7;8;1;;;;0
Hieracium andurense Arv.-Touv.;;;;;8;1;;;;0
Hieracium approximatum Jord. ;5;5;3;5;4;4;5;4;3;0
Hieracium ardissonei Zahn;;;;;;;;;;
Hieracium argillaceum Jord. ;5;5;4;5;4;5;5;5;3;0
Hieracium armerioides Arv.-Touv.;6;5;8;8;5;2;2;7;3;0
Hieracium arnicoides Gren. & Godr.;;;;;8;1;;;;0
Hieracium arrectarium Jord. ex Boreau;5;5;4;5;4;5;5;4;3;0
Hieracium asclepioides Arv.-Touv. & Briq.;7;7;5;5;3;3;2;8;5;0
Hieracium aspernatum Jord. ex Boreau ;5;5;4;6;4;4;5;5;3;0
Hieracium atratum Fr.;5;5;3;6;4;6;2;8;3;0
Hieracium atropictum Arv.-Touv. & Gaut.;5;5;8;5;6;1;3;3;3;0
Hieracium aviicola Jord. ex Boreau;5;5;4;6;4;4;5;3;3;0
Hieracium aymericianum Arv.-Touv.;;;;;8;1;;;;0
Hieracium baenitzianum Arv.-Touv.;;;;;8;1;;;;0
Hieracium bastardianum Boreau;5;5;4;5;4;5;5;4;3;0
Hieracium berardianum Arv.-Touv.;5;5;3;7;4;6;2;7;3;0
Hieracium bicknellianum Belli & Arv.-Touv. ex Murr, Zahn & Poell;;;;;;;;;;
Hieracium bifidum Hornem.;5;4;8;8;3;2;2;4;3;0
Hieracium bifrons Arv.-Touv.;3;3;5;6;3;4;5;7;5;0
Hieracium blancii J.Serres ;;;;;;;;;;
Hieracium bocconei Griseb.;5;5;8;8;5;2;2;7;3;0
Hieracium brevipes Jord. ex Boreau;5;5;3;6;4;4;5;4;3;0
Hieracium brunelliforme Arv.-Touv.;5;5;3;7;7;6;2;3;3;0
Hieracium buglossoides Arv.-Touv.;3;3;3;7;7;1;3;3;3;0
Hieracium bupleuroides C.C.Gmel.;;;;8;8;1;6;;;0
Hieracium burnatii Arv.-Touv. ex Burnat & Gremli;;;;;;;;;;
Hieracium caerulaceum Arv.-Touv.;5;5;5;7;7;6;2;8;5;0
Hieracium caesioides Arv.-Touv.;;;;;;;;;;
Hieracium caesium (Fr.) Fr.;5;4;8;9;3;2;4;4;3;0
Hieracium callianthum Arv.-Touv.;4;4;8;8;8;1;2;8;4;0
Hieracium candidum Scheele;4;3;8;8;8;1;2;5;3;0
Hieracium cantalicum Arv.-Touv.;5;6;3;6;3;3;2;5;5;0
Hieracium cebennense Arv.-Touv. ex B.-A.Martin;5;5;3;7;7;6;2;4;3;0
Hieracium cenisium Arv.-Touv.;;;;;;;;;;
Hieracium cerdanum Arv.-Touv.;4;3;3;4;8;1;3;3;3;0
Hieracium cerinthoides L.;4;4;3;7;7;1;2;3;3;0
Hieracium chaboissaei Arv.-Touv.;;;;;8;1;;;;0
Hieracium chaixianum Arv.-Touv. & Gaut.;;;;;8;1;;;;0
Hieracium chenopodioides Arv.-Touv.;5;5;3;7;4;4;6;5;3;0
Hieracium chloropsis Gren. & Godr.;;;;;8;1;;;;0
Hieracium chondrillifolium Fr.;;;;;;;;;;
Hieracium cichoriaceum Arv.-Touv.;5;5;3;7;7;7;2;8;3;0
Hieracium cinerascens Jord. ;5;5;4;5;7;5;6;5;3;0
Hieracium cirrocephalum Arv.-Touv.;5;5;3;5;4;6;2;8;3;0
Hieracium colmeiroanum Arv.-Touv. & Gaut.;;;;;8;1;;;;0
Hieracium columnare Arv.-Touv.;5;5;4;4;7;1;3;3;3;0
Hieracium commixtum Jord.;5;5;3;5;4;5;5;3;3;0
Hieracium compositum Lapeyr.;6;5;4;6;3;4;3;4;4;0
Hieracium conicum Arv.-Touv.;5;5;3;6;4;4;2;3;4;0
Hieracium cordatum Scheele;5;5;8;8;5;2;3;5;3;0
Hieracium coriifolium (Arv.-Touv.) Arv.-Touv.;5;5;8;8;7;1;2;8;3;0
Hieracium coronariifolium Arv.-Touv.;5;5;8;8;7;1;1;7;3;0
Hieracium cottetii Christener;;;;;;;;;;
Hieracium crenatifolium Arv.-Touv. & Gaut.;;;;;8;1;;;;0
Hieracium cryptadenum Arv.-Touv.;;;;;;;;;;
Hieracium cryptanthum Arv.-Touv. & Marcailhou;;;;;;;;;;
Hieracium curvidens Jord.;5;5;4;5;4;4;5;5;6;0
Hieracium cuspidatum Jord. ex Boreau ;3;3;3;6;7;1;4;6;3;0
Hieracium dasytrichum Arv.-Touv.;6;4;3;7;8;1;2;5;2;0
Hieracium dentatum Hoppe;;;;;8;1;;;;0
Hieracium divisum Jord.;5;5;3;5;4;5;5;4;3;0
Hieracium doronicifolium Arv.-Touv.;5;5;6;6;3;2;2;8;3;0
Hieracium dryophilum Boreau;5;5;3;6;4;5;5;3;3;0
Hieracium dumosum Jord. ;4;4;4;5;4;4;5;6;6;0
Hieracium elegantidens Zahn;5;5;4;7;4;7;2;8;3;0
Hieracium epimedium Fr.;5;5;5;5;3;3;2;5;3;0
Hieracium eriomallum J.M.Tison & Greuter;5;5;8;7;8;1;2;5;3;0
Hieracium eriophorum St.-Amans;3;3;5;8;4;1;6;1;3;1
Hieracium eriopogon Arv.-Touv. & Gaut.;;;;;8;1;;;;0
Hieracium exilentum Arv.-Touv.;5;5;5;5;3;3;2;7;3;0
Hieracium falcatum Arv.-Touv.;5;5;8;8;7;1;2;8;3;0
Hieracium fallens Jord. ex Boreau ;5;5;4;5;4;5;5;5;3;0
Hieracium farinulentum Jord. ;;;;;;;;;;
Hieracium favratii Muret ex Gremli;5;5;8;5;3;2;3;8;3;0
Hieracium flagelliferum Ravaud;5;5;3;5;4;5;5;6;3;0
Hieracium fourcadei de Retz;5;5;5;8;8;1;2;3;3;0
Hieracium fragile Jord. ;5;5;3;6;4;4;5;6;3;0
Hieracium froelichianum H.Buek;5;5;4;5;4;4;2;8;4;0
Hieracium fruticetorum Jord. ex Boreau;5;5;3;5;4;5;5;4;3;0
Hieracium gavellei de Retz;;;;;;;;;;
Hieracium glanduliferum Hoppe;5;5;1;9;6;1;1;4;1;0
Hieracium glaucifrons (Nägeli & Peter) Zahn;5;5;8;8;6;2;1;7;3;0
Hieracium glaucinum Jord.;5;5;3;6;4;5;6;3;3;0
Hieracium glaucopsis Gren. & Godr.;;;;;8;1;;;;0
Hieracium glaucum All.;5;4;9;7;6;2;2;8;2;0
Hieracium godetii Christener;;;;;8;1;;;;0
Hieracium gouanii Arv.-Touv.;4;3;5;7;7;1;3;3;3;0
Hieracium grovesianum Arv.-Touv. ex Belli;5;5;4;5;7;7;2;3;3;0
Hieracium gymnocerinthe Arv.-Touv. & Gaut.;5;5;5;8;8;1;2;3;3;0
Hieracium halleri Vill. ;5;5;3;7;4;7;1;7;3;0
Hieracium hastile Arv.-Touv. & Gaut.;4;4;3;5;7;1;3;3;3;0
Hieracium hemiplecum Arv.-Touv.;5;5;3;6;4;6;2;7;3;0
Hieracium hirsutum Tausch;4;4;4;4;3;5;3;3;4;0
Hieracium humile Jacq.;;;;7;8;1;4;6;;0
Hieracium inclinatum Arv.-Touv.;;;;;;;;;;
Hieracium inquinatum Jord. ex Boreau ;5;5;3;5;4;5;5;4;3;0
Hieracium insuetum Jord. ex Boreau;3;3;3;6;7;1;4;6;3;0
Hieracium intricatum Arv.-Touv.;5;5;3;7;7;6;2;8;3;0
Hieracium intybaceum All.;5;4;3;8;8;1;2;6;2;0
Hieracium inuloides Tausch;6;5;4;6;3;4;3;4;4;0
Hieracium irriguum (Fr.) Dahlst. ;5;5;3;6;4;5;5;5;3;0
Hieracium isolanum Zahn;5;5;3;7;7;6;2;8;3;0
Hieracium issleri Touton & Zahn;5;5;3;5;4;7;2;6;3;0
Hieracium jaceoides Arv.-Touv.;5;5;8;5;3;2;3;8;3;0
Hieracium jaubertianum Timb.-Lagr. & Loret;3;3;8;5;3;2;8;3;3;0
Hieracium jurassicum Griseb.;7;7;8;5;3;3;2;2;5;0
Hieracium kochianum Jord.;4;4;8;7;8;1;2;7;4;0
Hieracium lachenalii Suter;5;5;4;6;4;4;5;4;3;0
Hieracium lactucifolium Arv.-Touv.;5;5;8;5;7;2;2;5;3;0
Hieracium laevigatum Willd.;5;5;3;6;4;5;5;4;3;0
Hieracium lanceolatum Vill.;7;7;4;5;1;8;2;5;4;0
Hieracium lancidens Prain;6;6;4;6;4;1;5;6;4;0
Hieracium lantoscanum Burnat & Gremli;5;5;3;7;7;7;2;5;3;0
Hieracium lawsonii Vill.;;;;7;8;1;;;;0
Hieracium legraeanum Arv.-Touv.;;;;;;;;;;
Hieracium legrandianum Arv.-Touv.;;;;;8;1;;;;0
Hieracium leiopogon Gren.;5;4;8;7;7;1;2;7;3;0
Hieracium leucophaeum Gren. & Godr.;;;;;;;;;;
Hieracium levicaule Jord.;5;5;3;5;4;4;3;4;3;0
Hieracium liotardii Vill.;4;4;8;8;8;1;3;7;4;0
Hieracium longifolium Hornem.;;;;;8;1;;;;0
Hieracium lychnioides Arv.-Touv.;4;4;8;5;3;2;2;8;3;0
Hieracium lycopifolium Froël.;6;5;4;6;3;4;3;4;4;0
Hieracium maculatum Schrank;5;5;4;6;4;4;5;4;3;0
Hieracium maestum Arv.-Touv. & Gaut.;;;;;8;1;;;;0
Hieracium medium Jord.;5;5;8;6;2;1;2;7;3;0
Hieracium melanops Arv.-Touv.;5;5;3;5;4;6;2;8;3;0
Hieracium misaucinum Nägeli & Peter;;;;;8;1;;;;0
Hieracium mixtum Froël.;;;;7;8;1;;;;0
Hieracium molinerianum Arv.-Touv. & Gaut.;5;5;4;5;4;5;5;8;4;0
Hieracium mollitum Arv.-Touv.;;;;;8;1;;;;0
Hieracium monregalense Burnat & Gremli;;;;;8;1;;;;0
Hieracium morisianum Rchb.f.;4;4;8;6;7;1;2;7;3;0
Hieracium murorum L.;5;5;4;6;4;5;5;4;4;0
Hieracium neocerinthe Fr.;3;3;4;4;8;1;3;3;3;0
Hieracium neopicris Arv.-Touv.;5;5;5;7;8;1;2;5;3;0
Hieracium neoprenanthes Arv.-Touv.;5;5;8;5;3;2;3;8;3;0
Hieracium neyranum Arv.-Touv.;5;4;7;6;3;2;3;7;4;0
Hieracium nigritellum Arv.-Touv.;5;5;8;8;5;2;2;7;2;0
Hieracium nobile Gren. & Godr.;5;5;4;7;3;5;3;4;5;0
Hieracium obliquum Jord. ;5;5;4;5;3;3;5;4;7;0
Hieracium oblongum Jord. ;5;5;4;5;4;4;5;6;4;0
Hieracium odontinum Arv.-Touv.;5;5;8;3;3;2;2;4;3;0
Hieracium oligocephalum Arv.-Touv.;;;;;8;1;;;;0
Hieracium olivaceum Gren. & Godr.;6;5;4;8;3;4;3;4;3;0
Hieracium oreiocephalum Zahn;;;;;8;1;;;;0
Hieracium ovalifolium Jord.;4;4;5;5;3;3;4;5;5;0
Hieracium pallidifrons Sudre;5;5;4;6;4;4;6;3;3;0
Hieracium pallidulum Jord. ex Boreau;5;5;5;6;7;1;5;3;5;0
Hieracium pallidum Biv.;5;3;2;8;5;4;6;4;2;0
Hieracium pamphili Arv.-Touv.;;;;;8;1;;;;0
Hieracium parcepilosum Arv.-Touv.;5;5;6;6;3;2;2;7;3;0
Hieracium patens Bartl.;4;3;4;4;8;1;3;4;3;0
Hieracium paucifoliatum Jord. ex Boreau ;5;5;4;5;4;5;5;5;3;0
Hieracium pedemontanum Burnat & Gremli;;;;;8;1;;;;0
Hieracium pellitum Fr.;5;5;8;8;5;2;2;6;2;0
Hieracium percissum Jord. ex Boreau;5;5;4;5;4;5;5;5;3;0
Hieracium petiolare Jord. ;5;5;4;5;4;4;5;5;4;0
Hieracium phlomoides Froël.;;;;;8;1;;;;0
Hieracium picroides Vill.;5;5;3;7;5;6;2;8;3;0
Hieracium pictiforme Belli & Arv.-Touv.;;;;;8;1;;;;0
Hieracium pictum Schleich. ex Pers.;;;;;8;1;;;;0
Hieracium piliferum Hoppe;4;5;1;8;5;1;2;4;1;0
Hieracium pilosum Schleich. ex Froël.;;;;;8;1;;;;0
Hieracium planchonianum Timb.-Lagr. & Loret;4;4;8;7;8;1;5;3;4;0
Hieracium porrectum Fr.;;;;;8;1;;;;0
Hieracium prasinifolium Jord. ex Boreau ;5;5;4;6;4;5;5;3;3;0
Hieracium prasinops Touton & Zahn;5;5;6;8;7;1;2;8;3;0
Hieracium prasiophaeum Arv.-Touv. & Gaut.;5;5;3;5;4;6;2;3;3;0
Hieracium prenanthoides Vill.;5;5;4;7;3;4;3;5;5;0
Hieracium provinciale Jord. ;5;5;3;5;4;5;7;4;3;0
Hieracium pseudocerinthe (Gaudin) W.D.J.Koch;4;3;5;6;8;1;2;5;4;0
Hieracium pseudocirritum (Favre) Touton & Zahn;5;5;3;5;4;6;2;8;3;0
Hieracium pseudocorymbosum Gremli;3;3;8;6;3;2;3;8;3;0
Hieracium pseudolanatum Arv.-Touv. ;;;;;8;1;;;;0
Hieracium pseudopraecox (Zahn) Prain;;;;;8;1;;;;0
Hieracium pteropogon Arv.-Touv.;;;;;8;1;;;;0
Hieracium pulchellum Gren.;5;4;8;7;6;2;2;7;3;0
Hieracium pulmonarioides Vill.;;;;7;8;1;;;;0
Hieracium racemosum Waldst. & Kit. ex Willd.;5;5;4;6;4;5;6;4;3;0
Hieracium ragusinoides Arv.-Touv. & St.-Yves;;;;;8;1;;;;0
Hieracium ramondii Griseb.;;;;;8;1;;;;0
Hieracium ramosissimum Schleich. ex Hegetschw.;6;5;4;6;3;4;3;4;4;0
Hieracium rapunculoides Arv.-Touv.;6;5;4;6;3;4;3;4;4;0
Hieracium ravaudii Arv.-Touv.;;;;;8;1;;;;0
Hieracium recensitum Jord. ex Boreau;5;4;3;5;4;5;4;5;3;0
Hieracium rhaeticum Fr.;5;5;3;7;4;7;2;8;3;0
Hieracium rhomboidale Lapeyr.;7;6;4;7;4;7;2;3;3;0
Hieracium rionii Gremli ;;;;;8;1;;;;0
Hieracium rupestre All.;4;4;8;5;8;1;2;6;3;0
Hieracium sabaudum L.;5;5;4;6;4;4;6;4;3;0
Hieracium sarretoides Arv.-Touv. & H.J.Coste;;;;;8;1;;;;0
Hieracium sauzei (Arv.-Touv.) Arv.-Touv.;5;5;8;5;6;2;2;7;2;0
Hieracium schmidtii Tausch;5;5;4;6;4;5;6;4;3;0
Hieracium scorzonerifolium Vill.;4;4;7;9;7;1;2;7;2;0
Hieracium segureum Arv.-Touv.;5;5;8;4;3;2;2;8;3;0
Hieracium semisilvaticum (Zahn) P.D.Sell & C.West ;5;5;4;5;4;5;5;7;4;0
Hieracium serresianum Arv.-Touv.;;;;;8;1;;;;0
Hieracium solidagineum Fr.;;;;;8;1;;;;0
Hieracium sonchoides Arv.-Touv.;6;5;5;7;7;4;3;4;3;0
Hieracium souliei Arv.-Touv. & Gaut.;7;5;5;7;8;1;2;3;3;0
Hieracium speluncarum Arv.-Touv. ;;;;;8;1;;;;0
Hieracium stelligerum Froël.;4;4;8;7;8;1;6;3;4;0
Hieracium subhirsutum Jord. ex Boreau ;5;5;4;5;4;4;5;4;4;0
Hieracium subnivale Gren. & Godr.;6;5;8;8;6;2;2;7;2;0
Hieracium succisoides Arv.-Touv.;5;5;3;5;4;6;2;3;3;0
Hieracium taraxaciforme Arv.-Touv.;5;5;3;5;4;6;2;8;3;0
Hieracium taurinense Jord.;5;5;3;5;4;4;7;4;5;0
Hieracium thapsifolium Arv.-Touv.;6;5;4;6;3;4;3;4;4;0
Hieracium tinctum Jord. ex Boreau ;5;5;3;5;4;5;5;3;3;0
Hieracium tomentellum Nägeli & Peter;5;5;8;7;7;1;2;7;3;0
Hieracium tomentosum L.;5;5;8;8;7;1;2;7;2;0
Hieracium trachselianum Christener ;;;;;8;1;;;;0
Hieracium trichocerinthe Arv.-Touv.;;;;;8;1;;;;0
Hieracium turritifolium Arv.-Touv.;5;5;3;6;4;5;2;3;3;0
Hieracium ucenicum Arv.-Touv.;;;;;8;1;;;;0
Hieracium umbellatum L.;5;5;4;6;4;5;5;5;3;0
Hieracium umbrosum Jord.;6;5;4;6;3;4;3;4;4;0
Hieracium urticaceum Arv.-Touv. & Ravaud;;;;;8;1;;;;0
Hieracium vagum Jord. ;5;5;4;5;4;4;5;6;4;0
Hieracium valdepilosum Vill.;5;5;7;8;5;2;3;5;4;0
Hieracium vallisiacum Fr.;3;3;8;6;3;2;3;6;3;0
Hieracium vasconicum Martrin-Donos;5;5;4;5;3;3;7;3;4;0
Hieracium venascanum Arv.-Touv. & Gaut.;;;;;8;1;;;;0
Hieracium verbascifolium Vill.;;;;;8;1;;;;0
Hieracium vestitum Gren. & Godr.;;;;;8;1;;;;0
Hieracium villosissimum Nägeli;;;;;8;1;;;;0
Hieracium villosum Jacq.;4;5;9;9;3;2;2;5;3;0
Hieracium virgaurea Coss.;4;4;4;8;4;4;8;3;4;0
Hieracium virgulatum Arv.-Touv.;;;;;8;1;;;;0
Hieracium virgultorum Jord. ;5;5;4;5;3;3;7;3;4;0
Hieracium viride Arv.-Touv.;5;5;3;7;7;6;2;8;3;0
Hieracium viscosum Arv.-Touv.;5;4;3;8;8;1;2;5;2;0
Hieracium vulgatum Fr.;5;5;4;6;3;5;5;5;3;0
Hieracium xatardianum Arv.-Touv.;;;;;8;1;;;;0
Hieracium yvesianum Arv.-Touv.;5;5;8;7;7;1;2;7;3;0
Hierochloe odorata (L.) P.Beauv.;8;7;4;6;1;9;5;6;2;0
Hierochloe odorata (L.) P.Beauv. subsp. odorata ;8;7;4;6;1;9;5;6;2;0
Himantoglossum hircinum (L.) Spreng. ;4;4;8;7;3;2;7;4;3;0
Himantoglossum robertianum (Loisel.) P.Delforge;5;5;7;9;2;2;8;3;5;0
Hippocrepis biflora Spreng.;3;3;8;8;3;2;7;4;3;0
Hippocrepis ciliata Willd.;3;3;8;8;3;2;8;3;3;0
Hippocrepis comosa L.;3;3;7;7;3;2;5;4;2;0
Hippocrepis emerus (L.) Lassen ;4;4;8;7;3;2;6;4;4;0
Hippocrepis emerus (L.) Lassen subsp. emerus;4;4;8;7;3;2;6;4;4;0
Hippocrepis multisiliquosa L.;3;3;8;8;3;2;8;3;3;0
Hippocrepis scorpioides Benth.;4;4;8;8;3;2;6;4;4;0
Hippophae rhamnoides L. ;7;5;7;8;4;3;6;1;4;2
Hippophae rhamnoides L. subsp. rhamnoides;7;5;7;8;4;3;6;1;4;2
Hippophae rhamnoides subsp. fluviatilis Soest;7;6;7;8;5;3;3;6;5;0
Hippuris vulgaris écoph. stagnophile;9;11;5;6;2;8;4;5;5;0
Hippuris vulgaris L.;8;10;5;7;3;8;5;5;4;0
Holcus lanatus L.;5;5;4;7;3;3;5;5;6;1
Holcus lanatus L. subsp. lanatus;5;5;4;7;3;3;5;5;6;1
Holcus mollis L. ;6;6;3;5;3;4;5;4;3;0
Holcus mollis L. subsp. mollis;6;6;3;5;3;4;5;4;3;0
